Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
dz Algeria,22,27.3,61,4,44,360,4,5,3,8,5,0,0,3,0,1.25,0.75,2,1.25,2
ar Argentina,24,29.6,57.6,8,88,810,9,18,12,30,17,1,3,15,1,2,1.33,3.33,1.89,3.22
au Australia,23,25.3,41,4,44,390,4.3,2,1,3,2,0,0,5,0,0.46,0.23,0.69,0.46,0.69
at Austria,20,28.8,45,4,44,360,4,5,4,9,4,1,1,5,0,1.25,1,2.25,1,2
be Belgium,23,29.2,51.2,6,66,570,6.3,13,10,23,12,1,1,6,1,2.05,1.58,3.63,1.89,3.47
ba Bosnia–Herz,23,26.6,46,4,44,360,4,4,3,7,4,0,0,7,1,1,0.75,1.75,1,1.75
br Brazil,22,29.2,53,5,55,450,5,10,8,18,9,1,2,8,0,2,1.6,3.6,1.8,3.4
cv Cabo Verde,21,30.8,37.3,4,44,390,4.3,4,2,6,4,0,0,5,0,0.92,0.46,1.38,0.92,1.38
ca Canada,22,26.9,54.4,5,55,450,5,8,3,11,8,0,0,11,0,1.6,0.6,2.2,1.6,2.2
co Colombia,21,30,57.8,5,55,480,5.3,5,5,10,5,0,0,8,0,0.94,0.94,1.87,0.94,1.87
cd Congo DR,21,28.8,40,4,44,360,4,5,3,8,4,1,1,6,0,1.25,0.75,2,1,1.75
ci Côte d'Ivoire,22,25.5,49.8,4,44,360,4,5,4,9,5,0,0,4,0,1.25,1,2.25,1.25,2.25
hr Croatia,19,29.1,49.8,4,44,360,4,6,5,11,6,0,0,4,0,1.5,1.25,2.75,1.5,2.75
cw Curaçao,22,28.9,32.3,3,33,270,3,1,0,1,1,0,0,7,0,0.33,0,0.33,0.33,0.33
cz Czechia,21,27.8,42.7,3,33,270,3,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33
ec Ecuador,21,26.8,55.8,4,44,360,4,2,2,4,2,0,0,8,1,0.5,0.5,1,0.5,1
eg Egypt,21,29.3,51.4,5,55,480,5.3,8,8,16,8,0,0,12,0,1.5,1.5,3,1.5,3
eng England,24,26.5,54.1,8,88,750,8.3,20,14,34,17,3,3,8,1,2.4,1.68,4.08,2.04,3.72
fr France,22,26.9,55.9,8,88,720,8,20,18,38,19,1,2,6,0,2.5,2.25,4.75,2.37,4.62
de Germany,23,28.1,65,4,44,390,4.3,11,10,21,10,1,1,3,0,2.54,2.31,4.85,2.31,4.62
gh Ghana,22,27.4,36.3,4,44,360,4,2,1,3,2,0,0,6,0,0.5,0.25,0.75,0.5,0.75
ht Haiti,18,28.6,42.7,3,33,270,3,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67
