Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
ar Argentina,24,27.5,57.4,7,77,690,7.7,15,8,23,11,4,5,19,0,1.96,1.04,3,1.43,2.48
au Australia,20,27.8,37.8,4,44,360,4,3,3,6,3,0,0,7,0,0.75,0.75,1.5,0.75,1.5
be Belgium,20,29.7,57,3,33,270,3,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67
br Brazil,26,27.6,56.2,5,55,480,5.3,8,6,14,7,1,1,6,0,1.5,1.13,2.62,1.31,2.44
cm Cameroon,22,27.2,41.7,3,33,270,3,4,4,8,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67
ca Canada,19,27.3,52,3,33,270,3,1,1,2,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67
cr Costa Rica,22,29.7,31.3,3,33,270,3,3,1,4,3,0,0,6,0,1,0.33,1.33,1,1.33
hr Croatia,21,28.3,54.3,7,77,690,7.7,8,8,16,8,0,0,8,0,1.04,1.04,2.09,1.04,2.09
dk Denmark,20,26.6,60,3,33,270,3,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67
ec Ecuador,18,24.9,53.3,3,33,270,3,4,2,6,3,1,1,3,0,1.33,0.67,2,1,1.67
eng England,20,26.1,62.8,5,55,450,5,13,11,24,12,1,2,1,0,2.6,2.2,4.8,2.4,4.6
fr France,24,26.3,51.3,7,77,660,7.3,16,12,28,14,2,2,8,0,2.18,1.64,3.82,1.91,3.55
de Germany,20,27.3,59.3,3,33,270,3,6,5,11,5,1,1,3,0,2,1.67,3.67,1.67,3.33
gh Ghana,20,25.5,42,3,33,270,3,5,2,7,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33
ir IR Iran,21,28.5,36.7,3,33,270,3,4,2,6,3,1,1,7,0,1.33,0.67,2,1,1.67
jp Japan,22,28,35.8,4,44,390,4.3,5,4,9,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08
kr Korea Republic,21,28.2,48.3,4,44,360,4,5,3,8,5,0,0,7,0,1.25,0.75,2,1.25,2
mx Mexico,21,28.2,54,3,33,270,3,2,1,3,2,0,0,7,0,0.67,0.33,1,0.67,1
ma Morocco,25,26.3,39,7,77,660,7.3,6,4,10,6,0,0,9,1,0.82,0.55,1.36,0.82,1.36
nl Netherlands,21,26.8,53,5,55,480,5.3,10,8,18,10,0,0,12,1,1.87,1.5,3.38,1.87,3.38
pl Poland,21,27.8,37.3,4,44,360,4,3,1,4,2,1,2,7,0,0.75,0.25,1,0.5,0.75
pt Portugal,24,26.9,60.4,5,55,450,5,12,10,22,10,2,2,6,0,2.4,2,4.4,2,4
qa Qatar,20,28.2,43,3,33,270,3,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67
sa Saudi Arabia,23,27.3,44.7,3,33,270,3,3,2,5,3,0,1,14,0,1,0.67,1.67,1,1.67
sn Senegal,20,26.9,44.8,4,44,360,4,5,2,7,4,1,1,7,0,1.25,0.5,1.75,1,1.5
rs Serbia,22,26.5,51.3,3,33,270,3,5,4,9,5,0,0,12,0,1.67,1.33,3,1.67,3
es Spain,21,25.5,75.8,4,44,390,4.3,9,5,14,8,1,1,2,0,2.08,1.15,3.23,1.85,3
ch Switzerland,24,27.6,49,4,44,360,4,5,4,9,5,0,0,9,0,1.25,1,2.25,1.25,2.25
tn Tunisia,21,26.9,44.3,3,33,270,3,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67
uy Uruguay,19,27.6,48.7,3,33,270,3,2,1,3,2,0,0,8,0,0.67,0.33,1,0.67,1
us USA,20,24.5,53,4,44,360,4,3,3,6,3,0,0,5,0,0.75,0.75,1.5,0.75,1.5
wls Wales,18,26.8,46.7,3,33,270,3,1,0,1,0,1,1,5,1,0.33,0,0.33,0,0
