,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
157,Krépin Diatta,"MF,FW",sn Senegal,23,1.fr Monaco,1999,3,3,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Famara Diedhiou,FW,sn Senegal,29,1.tr Alanyaspor,1992,2,1,92,1,1,0,1,1,0,0,0,0,0.98,0,0.98,0.98,0.98,Matches
159,Bamba Dieng,FW,sn Senegal,22,1.fr Marseille,2000,4,0,100,1.1,1,0,1,1,0,0,0,0,0.9,0,0.9,0.9,0.9,Matches
160,Eric Dier,"DF,MF",eng England,28,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Axel Disasi,DF,fr France,24,1.fr Monaco,1998,3,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Alexander Djiku,DF,gh Ghana,27,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Ritsu Doan,"MF,FW",jp Japan,23,1.de Freiburg,1998,4,2,217,2.4,2,0,2,2,0,0,0,0,0.83,0,0.83,0.83,0.83,Matches
164,Jeremy Doku,"FW,MF",be Belgium,20,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Kasper Dolberg,FW,dk Denmark,24,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Mohamed Dräger,MF,tn Tunisia,25,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Óscar Duarte,DF,cr Costa Rica,33,1.sa Al-Wehda,1989,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
168,Mitchell Duke,FW,au Australia,31,2.jp F. Okayama,1991,4,4,270,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
169,Denzel Dumfries,MF,nl Netherlands,26,1.it Inter,1996,5,5,479,5.3,1,2,3,1,0,0,2,1,0.19,0.38,0.56,0.19,0.56,Matches
170,Paulo Dybala,"FW,MF",ar Argentina,28,1.it Roma,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Enzo Ebosse,DF,cm Cameroon,23,1.it Udinese,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Nico Elvedi,DF,ch Switzerland,25,1.de Gladbach,1996,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
173,Breel Embolo,FW,ch Switzerland,25,1.fr Monaco,1997,4,4,323,3.6,2,0,2,2,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches
174,Youssef En-Nesyri,FW,ma Morocco,25,1.es Sevilla,1997,7,7,542,6,2,0,2,2,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
175,Wataru Endo,MF,jp Japan,29,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Devis Epassy,GK,cm Cameroon,29,1.sa Abha,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
177,Christian Eriksen,MF,dk Denmark,30,1.eng Manchester Utd,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Michael Estrada,FW,ec Ecuador,26,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
179,Pervis Estupiñán,"DF,MF",ec Ecuador,24,1.eng Brighton,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Stephen Eustáquio,MF,ca Canada,25,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Saeid Ezatolahi,MF,ir IR Iran,25,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Abde Ezzalzouli,"FW,MF",ma Morocco,20,1.es Osasuna,2001,3,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Fabinho,MF,br Brazil,28,1.eng Liverpool,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Collins Fai,DF,cm Cameroon,29,1.sa Al-Ta'ee,1992,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
185,Salman Al-Faraj,MF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Christian Fassnacht,"FW,MF",ch Switzerland,28,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Abdul Fatawu Issahaku,"FW,MF",gh Ghana,18,1.pt Sporting CP,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
188,Ansu Fati,"FW,MF",es Spain,19,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,João Félix,FW,pt Portugal,22,1.es Atlético Madrid,1999,4,4,331,3.7,1,2,3,1,0,0,1,0,0.27,0.54,0.82,0.27,0.82,Matches
190,Bruno Fernandes,FW,pt Portugal,27,1.eng Manchester Utd,1994,4,4,356,4,2,3,5,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,Matches
191,Edimilson Fernandes,MF,ch Switzerland,26,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Enzo Fernández,MF,ar Argentina,21,1.pt Benfica,2001,7,5,564,6.3,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
193,Jesús Ferreira,FW,us USA,21,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Phil Foden,"FW,MF",eng England,22,1.eng Manchester City,2000,4,3,258,2.9,1,2,3,1,0,0,0,0,0.35,0.7,1.05,0.35,1.05,Matches
195,Youssouf Fofana,MF,fr France,23,1.fr Monaco,1999,6,2,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Juan Foyth,DF,ar Argentina,24,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Alan Franco,MF,ec Ecuador,23,1.ar Talleres–C,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Przemys?aw Frankowski,MF,pl Poland,27,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
199,Fred,MF,br Brazil,29,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
200,Fabian Frei,"DF,MF",ch Switzerland,33,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Remo Freuler,MF,ch Switzerland,30,1.eng Nottingham,1992,4,4,323,3.6,1,0,1,1,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
202,Keysher Fuller,"DF,MF",cr Costa Rica,27,1.cr Herediano,1994,3,3,253,2.8,1,0,1,1,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
203,Niclas Füllkrug,FW,de Germany,29,1.de Werder Bremen,1993,3,0,69,0.8,2,1,3,2,0,0,0,0,2.61,1.3,3.91,2.61,3.91,Matches
204,Rogelio Funes Mori,FW,mx Mexico,31,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Cody Gakpo,"FW,MF",nl Netherlands,23,1.nl PSV,1999,5,5,450,5,3,0,3,3,0,0,0,0,0.6,0,0.6,0.6,0.6,Matches
206,Hernán Galíndez,GK,ec Ecuador,35,1.ec Aucas,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Jesús Gallardo,DF,mx Mexico,27,1.mx Monterrey,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Gavi,MF,es Spain,17,1.es Barcelona,2004,4,4,284,3.2,1,0,1,1,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches
209,Sultan Al-Ghanam,DF,sa Saudi Arabia,28,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
210,Nader Ghandri,DF,tn Tunisia,27,1.tn Club Africain,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Saman Ghoddos,"FW,MF",ir IR Iran,28,1.eng Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Ali Gholizadeh,"MF,FW",ir IR Iran,26,1.be Charleroi,1996,3,2,199,2.2,0,1,1,0,0,0,0,0,0,0.45,0.45,0,0.45,Matches
213,Matthias Ginter,"DF,MF",de Germany,28,1.de Freiburg,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,Olivier Giroud,FW,fr France,35,1.it Milan,1986,6,6,419,4.7,4,0,4,4,0,0,1,0,0.86,0,0.86,0.86,0.86,Matches
215,Kamil Glik,DF,pl Poland,34,2.it Benevento,1988,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
216,Serge Gnabry,MF,de Germany,26,1.de Bayern Munich,1995,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches
217,Diego Godín,DF,uy Uruguay,36,1.ar Vélez Sarsfield,1986,2,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
218,Maxi Gómez,FW,uy Uruguay,25,1.tr Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
219,Papu Gómez,"MF,FW",ar Argentina,34,1.es Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Sh?ichi Gonda,GK,jp Japan,33,1.jp Shimizu S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
221,Craig Goodwin,MF,au Australia,30,1.au Adelaide United,1991,4,3,234,2.6,1,1,2,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,Matches
222,Leon Goretzka,MF,de Germany,27,1.de Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
223,Mario Götze,"FW,MF",de Germany,30,1.de Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
224,Jack Grealish,"FW,MF",eng England,26,1.eng Manchester City,1995,5,0,86,1,1,0,1,1,0,0,0,0,1.05,0,1.05,1.05,1.05,Matches
225,Antoine Griezmann,MF,fr France,31,1.es Atlético Madrid,1991,7,6,537,6,0,3,3,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Kamil Grosicki,"FW,MF",pl Poland,34,1.pl Pogo? Szczecin,1988,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Carlos Gruezo,MF,ec Ecuador,27,1.de Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
228,Marko Gruji?,MF,rs Serbia,26,1.pt Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
229,Andrés Guardado,MF,mx Mexico,35,1.es Real Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
230,Nemanja Gudelj,MF,rs Serbia,30,1.es Sevilla,1991,2,1,92,1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
231,Cho Gue-sung,FW,kr Korea Republic,24,1.kr Jeonbuk,1998,4,3,275,3.1,2,0,2,2,0,0,1,0,0.65,0,0.65,0.65,0.65,Matches
232,Mattéo Guendouzi,FW,fr France,23,1.fr Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Raphaël Guerreiro,DF,pt Portugal,28,1.de Dortmund,1993,4,3,279,3.1,1,2,3,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,Matches
234,Idrissa Gueye,MF,sn Senegal,32,1.eng Everton,1989,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
235,Pape Gueye,MF,sn Senegal,23,1.fr Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
236,Bruno Guimarães,MF,br Brazil,24,1.eng Newcastle,1997,2,0,69,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
237,?lkay Gündo?an,MF,de Germany,31,1.eng Manchester City,1990,3,3,189,2.1,1,0,1,0,1,1,0,0,0.48,0,0.48,0,0,Matches
238,Erick Gutiérrez,MF,mx Mexico,26,1.nl PSV,1995,1,0,49,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
239,Joško Gvardiol,DF,hr Croatia,20,1.de RB Leipzig,2002,7,7,690,7.7,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
240,Asiri Haitham,FW,sa Saudi Arabia,21,2.sa Al-Ahli,2001,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Ehsan Hajsafi,MF,ir IR Iran,32,1.gr AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Achraf Hakimi,DF,ma Morocco,23,1.fr PSG,1998,7,7,631,7,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
243,Abderrazak Hamdallah,FW,ma Morocco,31,1.sa Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Abdelkarim Hassan,DF,qa Qatar,28,1.qa Al Sadd,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Ali Al Hassan,MF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
246,Abdulaziz Hatem,MF,qa Qatar,32,1.qa Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Kai Havertz,FW,de Germany,23,1.eng Chelsea,1999,2,1,102,1.1,2,0,2,2,0,0,0,0,1.76,0,1.76,1.76,1.76,Matches
248,Hassan Al-Haydos,MF,qa Qatar,31,1.qa Al Sadd,1990,3,3,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Eden Hazard,FW,be Belgium,31,1.es Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Thorgan Hazard,MF,be Belgium,29,1.de Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Hwang Hee-chan,MF,kr Korea Republic,26,1.eng Wolves,1996,2,1,115,1.3,1,0,1,1,0,0,1,0,0.78,0,0.78,0.78,0.78,Matches
252,Jordan Henderson,MF,eng England,31,1.eng Liverpool,1990,4,3,271,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
253,Wayne Hennessey,GK,wls Wales,35,1.eng Nottingham,1987,2,2,175,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
254,Lucas Hernández,DF,fr France,26,1.de Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Theo Hernández,DF,fr France,24,1.it Milan,1997,6,5,508,5.6,1,2,3,1,0,0,1,0,0.18,0.35,0.53,0.18,0.53,Matches
256,Héctor Herrera,MF,mx Mexico,32,1.us Houston,1990,2,2,160,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
257,Son Heung-min,"MF,FW",kr Korea Republic,29,1.eng Tottenham,1992,4,4,360,4,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
258,Piero Hincapié,DF,ec Ecuador,20,1.de Leverkusen,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Jonas Hofmann,MF,de Germany,29,1.de Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
260,Junior Hoilett,MF,ca Canada,32,2.eng Reading,1990,3,2,161,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
261,Martin Hongla,MF,cm Cameroon,24,1.it Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
262,Ricardo Horta,FW,pt Portugal,27,1.pt Braga,1994,3,1,119,1.3,1,0,1,1,0,0,0,0,0.76,0,0.76,0.76,0.76,Matches
263,Hossein Hosseini,GK,ir IR Iran,29,1.ir Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Majid Hosseini,DF,ir IR Iran,25,1.tr Kayserispor,1996,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
265,Ajdin Hrustic,MF,au Australia,25,1.it Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
266,Atiba Hutchinson,MF,ca Canada,39,1.tr Be?ikta?,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Pierre Højbjerg,MF,dk Denmark,26,1.eng Tottenham,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Romario Ibarra,MF,ec Ecuador,27,1.mx Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
269,Ivan Ili?,MF,rs Serbia,21,1.it Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
270,Hwang In-beom,MF,kr Korea Republic,25,1.gr Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
271,Jackson Irvine,"MF,FW",au Australia,29,2.de St Pauli,1993,4,4,354,3.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
272,Ko Itakura,DF,jp Japan,25,1.de Gladbach,1997,3,3,270,3,0,1,1,0,0,0,2,0,0,0.33,0.33,0,0.33,Matches
273,Hiroki Ito,DF,jp Japan,23,1.de Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Junya It?,MF,jp Japan,29,1.fr Reims,1993,4,3,324,3.6,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
275,Yahya Jabrane,MF,ma Morocco,30,1.ma Wydad AC,1991,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Nicolas Jackson,FW,sn Senegal,20,1.es Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Lee Jae-sung,"MF,FW",kr Korea Republic,29,1.de Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
278,Alireza Jahanbakhsh,MF,ir IR Iran,28,1.nl Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
279,Kristijan Jaki?,"DF,MF",hr Croatia,25,1.de Frankfurt,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
280,Ismail Jakobs,DF,sn Senegal,22,1.fr Monaco,1999,4,3,278,3.1,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
281,Abolfazl Jalali,DF,ir IR Iran,23,1.ir Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
282,Daniel James,"MF,FW",wls Wales,24,1.eng Fulham,1997,3,2,154,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
283,Vincent Janssen,FW,nl Netherlands,27,1.be Antwerp,1994,2,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Ardon Jashari,MF,ch Switzerland,19,1.ch Luzern,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Issam Jebali,FW,tn Tunisia,30,1.dk Odense,1991,3,2,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
286,Artur J?drzejczyk,DF,pl Poland,34,1.pl Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Mathias Jensen,MF,dk Denmark,26,1.eng Brentford,1996,2,1,84,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
288,Gabriel Jesus,FW,br Brazil,25,1.eng Arsenal,1997,3,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
289,Raúl Jiménez,FW,mx Mexico,31,1.eng Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Kim Jin-su,DF,kr Korea Republic,30,1.kr Jeonbuk,1992,4,4,315,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
291,Brennan Johnson,"FW,MF",wls Wales,21,1.eng Nottingham,2001,3,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Alistair Johnston,DF,ca Canada,23,1.us CF Montréal,1998,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
293,Frenkie de Jong,MF,nl Netherlands,25,1.es Barcelona,1997,5,5,475,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,Matches
294,Luuk de Jong,FW,nl Netherlands,31,1.nl PSV,1990,1,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
295,Luka Jovi?,FW,rs Serbia,24,1.it Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
296,Son Jun-ho,MF,kr Korea Republic,30,1.cn SD Taishan,1992,3,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
297,Vinicius Júnior,"FW,MF",br Brazil,21,1.es Real Madrid,2000,4,4,299,3.3,1,2,3,1,0,0,0,0,0.3,0.6,0.9,0.3,0.9,Matches
298,Josip Juranovi?,DF,hr Croatia,26,1.sct Celtic,1995,6,6,600,6.7,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
299,Daichi Kamada,"MF,FW",jp Japan,25,1.de Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,Jakub Kami?ski,MF,pl Poland,20,1.de Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Hossein Kanaanizadegan,DF,ir IR Iran,28,1.qa Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
302,Harry Kane,FW,eng England,28,1.eng Tottenham,1993,5,5,402,4.5,2,3,5,1,1,2,0,0,0.45,0.67,1.12,0.22,0.9,Matches
303,Lee Kang-in,MF,kr Korea Republic,21,1.es Mallorca,2001,4,1,147,1.6,0,1,1,0,0,0,1,0,0,0.61,0.61,0,0.61,Matches
304,Mohamed Kanno,MF,sa Saudi Arabia,27,1.sa Al-Hilal,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Fran Kara?i?,DF,au Australia,26,2.it Brescia,1996,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
306,Ali Karimi,MF,ir IR Iran,28,1.tr Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
307,Mark-Anthony Kaye,MF,ca Canada,27,1.us Toronto FC,1994,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
308,Wajdi Kechrida,MF,tn Tunisia,26,1.gr Atromitos,1995,3,1,111,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
309,Thilo Kehrer,DF,de Germany,25,1.eng West Ham,1996,1,1,69,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
310,Bilal El Khannouss,MF,ma Morocco,18,1.be Genk,2004,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Wahbi Khazri,FW,tn Tunisia,31,1.fr Montpellier,1991,2,1,83,0.9,1,0,1,1,0,0,0,0,1.08,0,1.08,1.08,1.08,Matches
312,Musab Kheder,DF,qa Qatar,28,1.qa Al Sadd,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
313,Boualem Khoukhi,DF,qa Qatar,31,1.qa Al Sadd,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
314,Joshua Kimmich,"MF,DF",de Germany,27,1.de Bayern Munich,1995,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
315,Jakub Kiwior,DF,pl Poland,22,1.it Spezia,2000,4,4,355,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
316,Simon Kjær,DF,dk Denmark,33,1.it Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Davy Klaassen,MF,nl Netherlands,29,1.nl Ajax,1993,4,3,190,2.1,1,2,3,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,Matches
318,Lukas Klostermann,"DF,MF",de Germany,26,1.de RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
319,Gregor Kobel,GK,ch Switzerland,24,1.de Dortmund,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Koke,MF,es Spain,30,1.es Atlético Madrid,1992,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Randal Kolo Muani,FW,fr France,23,1.de Frankfurt,1998,3,1,182,2,1,0,1,1,0,0,0,0,0.49,0,0.49,0.49,0.49,Matches
322,Ibrahima Konaté,DF,fr France,23,1.eng Liverpool,1999,5,3,294,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Ismaël Koné,MF,ca Canada,19,1.us CF Montréal,2002,3,0,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Teun Koopmeiners,MF,nl Netherlands,24,1.it Atalanta,1998,5,1,219,2.4,0,1,1,0,0,0,1,0,0,0.41,0.41,0,0.41,Matches
