,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
38,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,3,2,182,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
39,Joachim Andersen,DF,dk Denmark,26,1.eng Crystal Palace,1996,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
40,Frank Anguissa,MF,cm Cameroon,26,1.it Napoli,1995,3,3,260,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
41,Karim Ansarifard,FW,ir IR Iran,32,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Antony,MF,br Brazil,22,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Uriel Antuna,"FW,MF",mx Mexico,24,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Néstor Araujo,DF,mx Mexico,30,1.mx América,1991,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
45,Giorgian de Arrascaeta,MF,uy Uruguay,28,1.br Flamengo,1994,2,1,108,1.2,2,0,2,2,0,0,0,0,1.67,0,1.67,1.67,1.67,Matches
46,Takuma Asano,"FW,MF",jp Japan,27,1.de Bochum,1994,4,0,165,1.8,1,0,1,1,0,0,0,0,0.55,0,0.55,0.55,0.55,Matches
47,Marco Asensio,FW,es Spain,26,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,1,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
48,Ali Assadalla,"FW,MF",qa Qatar,29,1.qa Al Sadd,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Lawrence Ati-Zigi,GK,gh Ghana,25,1.ch St. Gallen,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Nathaniel Atkinson,DF,au Australia,23,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Yahya Attiat Allah,DF,ma Morocco,27,1.ma Wydad AC,1995,6,2,318,3.5,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
52,André Ayew,"MF,FW",gh Ghana,32,1.qa Al Sadd,1989,3,3,198,2.2,1,0,1,1,0,1,1,0,0.45,0,0.45,0.45,0.45,Matches
53,Jordan Ayew,MF,gh Ghana,30,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,1,0,0,0,0,0,0,0.66,0.66,0,0.66,Matches
54,Sardar Azmoun,FW,ir IR Iran,27,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,César Azpilicueta,DF,es Spain,32,1.eng Chelsea,1989,2,2,135,1.5,0,1,1,0,0,0,0,0,0,0.67,0.67,0,0.67,Matches
56,Sr?an Babi?,DF,rs Serbia,26,1.es Almería,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Keanu Baccus,MF,au Australia,24,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Alexander Bah,"DF,MF",dk Denmark,24,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Hattan Bahebri,"FW,MF",sa Saudi Arabia,29,1.sa Al-Shabab,1992,2,0,4,0,0,1,1,0,0,0,1,0,0,22.5,22.5,0,22.5,Matches
60,Alejandro Balde,DF,es Spain,18,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Gareth Bale,"FW,MF",wls Wales,32,1.us LAFC,1989,3,3,225,2.5,1,0,1,0,1,1,1,0,0.4,0,0.4,0,0,Matches
62,Fodé Ballo-Touré,"DF,MF",sn Senegal,25,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Badr Banoun,DF,ma Morocco,28,1.qa Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Borna Bariši?,DF,hr Croatia,29,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
65,Meshaal Barsham,GK,qa Qatar,24,1.qa Al Sadd,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Christian Bassogog,"FW,MF",cm Cameroon,26,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
67,Michy Batshuayi,FW,be Belgium,28,1.tr Fenerbahçe,1993,2,2,151,1.7,1,0,1,1,0,0,0,0,0.6,0,0.6,0.6,0.6,Matches
68,Jan Bednarek,DF,pl Poland,26,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Aziz Behich,DF,au Australia,31,1.sct Dundee United,1990,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
70,Alireza Beiranvand,GK,ir IR Iran,29,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Jude Bellingham,MF,eng England,18,1.de Dortmund,2003,5,5,414,4.6,1,1,2,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,Matches
72,Anis Ben Slimane,FW,tn Tunisia,21,1.dk Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Jewison Bennette,MF,cr Costa Rica,17,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Rodrigo Bentancur,MF,uy Uruguay,24,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Bartosz Bereszy?ski,DF,pl Poland,29,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Steven Berghuis,MF,nl Netherlands,30,1.nl Ajax,1991,4,1,200,2.2,0,1,1,0,0,0,1,0,0,0.45,0.45,0,0.45,Matches
77,Steven Bergwijn,FW,nl Netherlands,24,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
78,Krystian Bielik,MF,pl Poland,24,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Daley Blind,MF,nl Netherlands,32,1.nl Ajax,1990,5,5,423,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,Matches
80,Celso Borges,MF,cr Costa Rica,34,1.cr Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
81,Milan Borjan,GK,ca Canada,34,1.rs Red Star,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Karim Boudiaf,MF,qa Qatar,31,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
83,Sofiane Boufal,"FW,MF",ma Morocco,28,1.fr Angers,1993,7,7,475,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
84,Yassine Bounou,GK,ma Morocco,31,1.es Sevilla,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Martin Braithwaite,FW,dk Denmark,31,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Gleison Bremer,DF,br Brazil,25,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Dylan Bronn,DF,tn Tunisia,26,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Marcelo Brozovi?,MF,hr Croatia,29,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
90,Tajon Buchanan,"MF,FW",ca Canada,23,1.be Club Brugge,1999,3,3,260,2.9,0,1,1,0,0,0,1,0,0,0.35,0.35,0,0.35,Matches
91,Ante Budimir,FW,hr Croatia,30,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Osman Bukari,"FW,MF",gh Ghana,23,1.rs Red Star,1998,2,0,59,0.7,1,0,1,1,0,0,0,0,1.53,0,1.53,1.53,1.53,Matches
93,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
94,Firas Al-Buraikan,FW,sa Saudi Arabia,22,1.sa Al-Fateh,2000,3,3,268,3,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
95,Sergio Busquets,MF,es Spain,33,1.es Barcelona,1988,4,4,363,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
96,Martín Cáceres,DF,uy Uruguay,35,1.us LA Galaxy,1987,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
97,Moisés Caicedo,MF,ec Ecuador,20,1.eng Brighton,2001,3,3,269,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
98,Francisco Calvo,DF,cr Costa Rica,29,1.tr Konyaspor,1992,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
99,Eduardo Camavinga,DF,fr France,19,1.es Real Madrid,2002,2,1,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Joel Campbell,"MF,FW",cr Costa Rica,29,1.mx León,1992,3,3,269,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,João Cancelo,DF,pt Portugal,28,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Agustín Canobbio,"FW,MF",uy Uruguay,23,1.br Athletico–PR,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Yannick Carrasco,"MF,FW",be Belgium,28,1.es Atlético Madrid,1993,2,2,116,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
104,Cameron Carter-Vickers,DF,us USA,24,1.sct Celtic,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Dani Carvajal,DF,es Spain,30,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,William Carvalho,MF,pt Portugal,30,1.es Real Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Casemiro,MF,br Brazil,30,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,1,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
108,Matty Cash,DF,pl Poland,24,1.eng Aston Villa,1997,4,4,360,4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
109,Timothy Castagne,"MF,DF",be Belgium,26,1.eng Leicester City,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Jean-Charles Castelletto,DF,cm Cameroon,27,1.fr Nantes,1995,2,2,180,2,1,1,2,1,0,0,0,0,0.5,0.5,1,0.5,1,Matches
111,Lucas Cavallini,FW,ca Canada,29,1.us Vancouver,1992,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Edinson Cavani,FW,uy Uruguay,35,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
113,Ghaylène Chaalali,MF,tn Tunisia,28,1.tn Espérance Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Daniel Chacón,DF,cr Costa Rica,21,1.cr CS Cartaginés,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Ilias Chair,"FW,MF",ma Morocco,24,2.eng QPR,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Kwon Chang-hoon,MF,kr Korea Republic,27,1.kr Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Luis Chávez,MF,mx Mexico,26,1.mx Pachuca,1996,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
118,Walid Cheddira,FW,ma Morocco,24,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
119,Rouzbeh Cheshmi,DF,ir IR Iran,28,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,1,0,0,0,0,1.55,0,1.55,1.55,1.55,Matches
120,Andreas Christensen,DF,dk Denmark,26,1.es Barcelona,1996,3,3,270,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
121,Hong Chul,"DF,MF",kr Korea Republic,31,1.kr Daegu FC,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,José Cifuentes,MF,ec Ecuador,23,1.us LAFC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Pathé Ciss,MF,sn Senegal,28,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
124,Sebastián Coates,DF,uy Uruguay,31,1.pt Sporting CP,1990,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
125,Rubin Colwill,MF,wls Wales,20,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Kingsley Coman,FW,fr France,26,1.de Bayern Munich,1996,6,1,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Eray Cömert,DF,ch Switzerland,24,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
128,Anthony Contreras,FW,cr Costa Rica,22,1.cr Herediano,2000,3,2,125,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
129,Andreas Cornelius,FW,dk Denmark,29,1.dk FC Copenhagen,1993,3,1,92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
130,Ángel Correa,"FW,MF",ar Argentina,27,1.es Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Diogo Costa,GK,pt Portugal,22,1.pt Porto,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Thibaut Courtois,GK,be Belgium,30,1.es Real Madrid,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Jason Cummings,FW,au Australia,26,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Aymen Dahmen,GK,tn Tunisia,25,1.tn CS Sfaxien,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Diogo Dalot,DF,pt Portugal,23,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,2,0,0,0,0,0,0,0.7,0.7,0,0.7,Matches
136,Mikkel Damsgaard,FW,dk Denmark,21,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Danilo,DF,br Brazil,30,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
138,Achraf Dari,DF,ma Morocco,23,1.fr Brest,1999,3,2,187,2.1,1,0,1,1,0,0,1,0,0.48,0,0.48,0.48,0.48,Matches
139,Jonathan David,FW,ca Canada,22,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Alphonso Davies,"MF,FW",ca Canada,21,1.de Bayern Munich,2000,3,3,270,3,1,0,1,1,0,1,1,0,0.33,0,0.33,0.33,0.33,Matches
141,Ben Davies,DF,wls Wales,29,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Nasser Al-Dawsari,"DF,MF",sa Saudi Arabia,23,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Salem Al-Dawsari,FW,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3,2,0,2,2,0,1,1,0,0.67,0,0.67,0.67,0.67,Matches
144,Kevin De Bruyne,"FW,MF",be Belgium,30,1.eng Manchester City,1991,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Charles De Ketelaere,"FW,MF",be Belgium,21,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Nicolás De La Cruz,MF,uy Uruguay,25,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Rodrigo De Paul,MF,ar Argentina,28,1.es Atlético Madrid,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Miloš Degenek,DF,au Australia,28,1.us Columbus Crew,1994,4,2,183,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
149,Thomas Delaney,MF,dk Denmark,30,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Ousmane Dembélé,"MF,FW",fr France,25,1.es Barcelona,1997,7,6,433,4.8,0,2,2,0,0,0,1,0,0,0.42,0.42,0,0.42,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Leander Dendoncker,DF,be Belgium,27,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
152,Sergiño Dest,DF,us USA,21,1.it Milan,2000,4,4,305,3.4,0,1,1,0,0,0,1,0,0,0.3,0.3,0,0.3,Matches
153,Ángel Di María,"MF,FW",ar Argentina,34,1.it Juventus,1988,5,4,288,3.2,1,1,2,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches
154,Boulaye Dia,"FW,MF",sn Senegal,25,1.it Salernitana,1996,4,4,318,3.5,1,0,1,1,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches
155,Abdou Diallo,DF,sn Senegal,26,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Rúben Dias,DF,pt Portugal,25,1.eng Manchester City,1997,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
