Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,20,13,"1,237",13.7,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,14,"1,267",14.1,2,2,4,2,0,0,3,1,0.14,0.14,0.28,0.14,0.28,Matches
3,Paxten Aaronson,us USA,MF,Frankfurt,de Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0,0.89,0.89,0,0.89,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,31,31,"2,781",30.9,4,0,4,3,1,1,5,0,0.13,0,0.13,0.1,0.1,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,27,17,"1,519",16.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,33,32,"2,860",31.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,20,2003,22,12,"1,044",11.6,5,0,5,5,0,0,1,0,0.43,0,0.43,0.43,0.43,Matches
10,Abner,br BRA,DF,Real Betis,es La Liga,23,2000,23,15,"1,400",15.6,0,1,1,0,0,0,3,0,0,0.06,0.06,0,0.06,Matches
11,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,0.36,0,0.36,0.24,0.24,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,27,27,"2,312",25.7,0,0,0,0,0,0,10,0,0,0,0,0,0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.37,0,0.37,0.37,0.37,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,29,26,"2,388",26.5,3,1,4,3,0,0,1,0,0.11,0.04,0.15,0.11,0.15,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,31,1991,21,18,"1,292",14.4,1,2,3,1,0,0,7,0,0.07,0.14,0.21,0.07,0.21,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,32,27,"2,252",25,8,1,9,8,0,0,2,0,0.32,0.04,0.36,0.32,0.36,Matches
