Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,"1,777",19.7,0,1,1,0,0,0,2,0,0,0.05,0.05,0,0.05,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,"2,889",32.1,3,0,3,3,0,0,4,1,0.09,0,0.09,0.09,0.09,Matches
4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,"1,320",14.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,"2,963",32.9,3,1,4,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,Matches
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,0.3,0.2,0.49,0.3,0.49,Matches
8,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,"1,260",14,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
10,David Abraham,ar ARG,DF,Frankfurt,de Bundesliga,34,1986,14,14,"1,222",13.6,1,0,1,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,"1,040",11.6,6,1,7,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,Matches
12,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,14,2,441,4.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,"2,813",31.3,0,1,1,0,0,0,9,1,0,0.03,0.03,0,0.03,Matches
15,Ragnar Ache,de GER,FW,Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,1,0,1,1,0,0,1,0,0.9,0,0.9,0.9,0.9,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,"2,330",25.9,1,2,3,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matches
17,Ché Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,"2,667",29.6,9,5,14,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,Matches
18,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,21,1999,27,21,"1,850",20.6,1,1,2,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,Matches
19,Sargis Adamyan,am ARM,MF,Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,2,3,5,2,0,0,2,0,0.38,0.56,0.94,0.38,0.94,Matches
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,"2,953",32.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,"2,418",26.9,2,5,7,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,Matches
23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,26,16,"1,558",17.3,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
27,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,"1,356",15.1,1,2,3,1,0,0,4,0,0.07,0.13,0.2,0.07,0.2,Matches
29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,"3,147",35,3,1,4,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,Matches
30,Sergio Agüero,ar ARG,"FW,MF",Manchester City,eng Premier League,32,1988,12,7,559,6.2,4,1,5,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,Matches
31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,33,27,"2,225",24.7,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches
32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10,2,0,2,2,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
34,Jean-Eudes Aholou,ci CIV,"MF,DF",Strasbourg,fr Ligue 1,26,1994,27,26,"2,146",23.8,2,2,4,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,Matches
35,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,"1,289",14.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
37,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,"2,664",29.6,2,1,3,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,Matches
38,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,3,2,187,2.1,0,1,1,0,0,0,0,0,0,0.48,0.48,0,0.48,Matches
39,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,eng Premier League,19,2001,21,16,"1,404",15.6,1,1,2,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,Matches
40,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,31,"2,780",30.9,2,0,2,2,0,0,3,1,0.06,0,0.06,0.06,0.06,Matches
41,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,35,34,"2,967",33,16,4,20,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,Matches
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,"2,350",26.1,2,0,2,2,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
43,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6,1,0,1,1,0,0,3,1,0.1,0,0.1,0.1,0.1,Matches
44,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9,1,0,1,1,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
