Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Faride Alidou,de GER,FW,Frankfurt,de Bundesliga,21,2001,15,0,182,2,0,1,1,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
77,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,"3,330",37,0,1,1,0,0,0,1,0,0,0.03,0.03,0,0.03,Matches
78,Jim Allevinah,ga GAB,MF,Clermont Foot,fr Ligue 1,27,1995,36,25,"2,244",24.9,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
79,Dele Alli,eng ENG,"FW,MF",Everton,eng Premier League,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,André Almeida,pt POR,MF,Valencia,es La Liga,22,2000,34,29,"2,539",28.2,2,4,6,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,Matches
81,Miguel Almirón,py PAR,FW,Newcastle,eng Premier League,28,1994,34,29,"2,491",27.7,11,2,13,11,0,0,2,0,0.4,0.07,0.47,0.4,0.47,Matches
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,24,11,"1,172",13,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,26,14,"1,361",15.1,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
84,Agustín Álvarez,uy URU,FW,Sassuolo,it Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,0.24,0.24,0.49,0.24,0.49,Matches
85,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
86,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
87,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,22,16,"1,501",16.7,2,0,2,2,0,0,7,1,0.12,0,0.12,0.12,0.12,Matches
88,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,22,2000,31,13,"1,465",16.3,9,0,9,8,1,1,0,0,0.55,0,0.55,0.49,0.49,Matches
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,28,27,"2,332",25.9,1,1,2,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08,Matches
90,Ibrahim Amadou,fr FRA,DF,Angers,fr Ligue 1,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
91,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,7,3,267,3,2,1,3,2,0,0,2,1,0.67,0.34,1.01,0.67,1.01,Matches
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,20,18,"1,610",17.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
93,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,28,12,"1,227",13.6,2,0,2,2,0,0,2,1,0.15,0,0.15,0.15,0.15,Matches
94,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
95,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Kelvin Amian,fr FRA,"DF,MF",Spezia,it Serie A,24,1998,30,26,"2,372",26.4,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches
97,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
98,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,26,25,"2,086",23.2,1,1,2,1,0,0,10,1,0.04,0.04,0.09,0.04,0.09,Matches
99,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,0.37,0.09,0.46,0.28,0.37,Matches
100,Samuel Amo-Ameyaw,eng ENG,"FW,MF",Southampton,eng Premier League,16,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,31,31,"2,639",29.3,0,1,1,0,0,0,10,1,0,0.03,0.03,0,0.03,Matches
102,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,29,24,"1,998",22.2,0,1,1,0,0,0,11,0,0,0.05,0.05,0,0.05,Matches
103,Ayoub Amraoui,ma MAR,DF,Nice,fr Ligue 1,18,2004,7,3,294,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,32,32,"2,782",30.9,1,0,1,1,0,0,8,0,0.03,0,0.03,0.03,0.03,Matches
105,Elliot Anderson,eng ENG,MF,Newcastle,eng Premier League,19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0,0,0.22,0.22,0,0.22,Matches
106,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,38,35,"2,958",32.9,9,2,11,9,0,0,3,0,0.27,0.06,0.33,0.27,0.33,Matches
107,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,34,33,"2,916",32.4,1,1,2,1,0,0,12,0,0.03,0.03,0.06,0.03,0.06,Matches
108,Marcos André,br BRA,FW,Valencia,es La Liga,25,1996,17,3,447,5,1,0,1,1,0,0,2,1,0.2,0,0.2,0.2,0.2,Matches
109,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,34,16,"1,446",16.1,4,3,7,3,1,2,4,0,0.25,0.19,0.44,0.19,0.37,Matches
110,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,29,28,"2,406",26.7,2,2,4,2,0,0,7,0,0.07,0.07,0.15,0.07,0.15,Matches
111,Angeliño,es ESP,MF,Hoffenheim,de Bundesliga,25,1997,33,30,"2,617",29.1,0,8,8,0,0,0,2,0,0,0.28,0.28,0,0.28,Matches
112,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,15,7,585,6.5,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
113,Frank Anguissa,cm CMR,MF,Napoli,it Serie A,26,1995,36,36,"3,050",33.9,3,5,8,3,0,0,3,0,0.09,0.15,0.24,0.09,0.24,Matches
114,Jaidon Anthony,eng ENG,MF,Bournemouth,eng Premier League,22,1999,30,11,"1,257",14,3,1,4,3,0,0,2,0,0.21,0.07,0.29,0.21,0.29,Matches
115,Janis Antiste,fr FRA,"FW,MF",Sassuolo,it Serie A,19,2002,2,0,52,0.6,1,0,1,1,0,0,0,0,1.73,0,1.73,1.73,1.73,Matches
116,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,34,34,"2,934",32.6,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,Matches
117,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,22,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,José Antonio,es ESP,MF,Cádiz,es La Liga,18,2004,2,0,46,0.5,0,1,1,0,0,0,0,0,0,1.96,1.96,0,1.96,Matches
119,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,16,6,594,6.6,1,1,2,1,0,0,2,0,0.15,0.15,0.3,0.15,0.3,Matches
120,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,33,21,"1,829",20.3,5,3,8,5,0,0,2,0,0.25,0.15,0.39,0.25,0.39,Matches
121,Antony,br BRA,MF,Manchester Utd,eng Premier League,22,2000,25,23,"1,802",20,4,2,6,4,0,0,5,0,0.2,0.1,0.3,0.2,0.3,Matches
122,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,9,2,306,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
123,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,29,22,"1,981",22,3,6,9,3,0,0,2,0,0.14,0.27,0.41,0.14,0.41,Matches
124,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,3,3,210,2.3,1,0,1,1,0,0,1,0,0.43,0,0.43,0.43,0.43,Matches
125,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,24,1998,16,6,526,5.8,1,1,2,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Adil Aouchiche,dz ALG,MF,Lorient,fr Ligue 1,20,2002,11,1,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,15,9,795,8.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
128,Stredair Appuah,fr FRA,FW,Nantes,fr Ligue 1,18,2004,5,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,13,13,992,11,0,1,1,0,0,0,5,1,0,0.09,0.09,0,0.09,Matches
130,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
131,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,22,21,"1,800",20,0,2,2,0,0,0,5,1,0,0.1,0.1,0,0.1,Matches
132,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,4,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,5,2,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Adu Ares,es ESP,MF,Athletic Club,es La Liga,20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26,1996,21,13,"1,224",13.6,2,0,2,2,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
137,Adam Armstrong,eng ENG,"MF,FW",Southampton,eng Premier League,25,1997,30,14,"1,335",14.8,2,1,3,2,0,0,2,0,0.13,0.07,0.2,0.13,0.2,Matches
138,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,30,1992,32,14,"1,408",15.6,2,1,3,2,0,0,6,0,0.13,0.06,0.19,0.13,0.19,Matches
139,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33,1989,21,18,"1,530",17,10,0,10,7,3,3,5,0,0.59,0,0.59,0.41,0.41,Matches
140,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28,1994,32,32,"2,767",30.7,5,3,8,2,3,5,5,0,0.16,0.1,0.26,0.07,0.16,Matches
141,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Sergio Arribas,es ESP,MF,Real Madrid,es La Liga,20,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,29,29,"2,565",28.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
144,Roberto Arroyo,es ESP,FW,Valladolid,es La Liga,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Tolgay Arslan,de GER,MF,Udinese,it Serie A,31,1990,36,12,"1,211",13.5,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
146,Ricard Artero,es ESP,MF,Girona,es La Liga,19,2003,7,0,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,es La Liga,24,1998,12,5,483,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Takuma Asano,jp JPN,"MF,FW",Bochum,de Bundesliga,27,1994,25,21,"1,713",19,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
149,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,25,1997,13,7,727,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
150,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,26,1996,31,15,"1,442",16,9,6,15,9,0,1,1,0,0.56,0.37,0.94,0.56,0.94,Matches
152,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,21,2001,21,7,728,8.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
153,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,19,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Kristjan Asllani,al ALB,MF,Inter,it Serie A,20,2002,20,5,592,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
