Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,eng Premier League,21,2000,36,28,"2,372",26.4,1,3,4,1,0,0,2,0,0.04,0.11,0.15,0.04,0.15,Matches
2,Paxten Aaronson,us USA,MF,Frankfurt,de Bundesliga,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,37,"3,330",37,1,2,3,1,0,0,6,0,0.03,0.05,0.08,0.03,0.08,Matches
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,24,"2,137",23.7,2,2,4,2,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,33,"2,894",32.2,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,28,"2,342",26,0,1,1,0,0,0,7,1,0,0.04,0.04,0,0.04,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
10,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19,2003,19,8,806,9,2,1,3,1,1,2,1,0,0.22,0.11,0.33,0.11,0.22,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches
12,Abner,br BRA,DF,Real Betis,es La Liga,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
13,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,22,2000,37,28,"2,473",27.5,10,5,15,10,0,0,4,0,0.36,0.18,0.55,0.36,0.55,Matches
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,24,"2,189",24.3,8,3,11,8,0,0,2,0,0.33,0.12,0.45,0.33,0.45,Matches
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,25,"2,425",26.9,0,2,2,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,21,"1,912",21.2,3,2,5,3,0,0,10,3,0.14,0.09,0.24,0.14,0.24,Matches
20,Ché Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,28,23,"1,992",22.1,5,3,8,5,0,0,1,0,0.23,0.14,0.36,0.23,0.36,Matches
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,24,"2,156",24,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
22,Sargis Adamyan,am ARM,FW,Köln,de Bundesliga,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,0.14,0.28,0.42,0.14,0.42,Matches
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,25,23,"2,085",23.2,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
24,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
25,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,20,2002,24,20,"1,386",15.4,6,5,11,6,0,1,9,0,0.39,0.32,0.71,0.39,0.71,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,26,16,"1,435",15.9,5,3,8,5,0,0,2,2,0.31,0.19,0.5,0.31,0.5,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
28,Michel Aebischer,ch SUI,"MF,FW",Bologna,it Serie A,25,1997,32,18,"1,542",17.1,1,0,1,1,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,29,27,"2,388",26.5,0,3,3,0,0,0,5,3,0,0.11,0.11,0,0.11,Matches
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,15,14,"1,094",12.2,0,1,1,0,0,0,5,0,0,0.08,0.08,0,0.08,Matches
33,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,34,18,"1,888",21,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14,Matches
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,34,23,"2,131",23.7,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,18,17,"1,595",17.7,2,0,2,2,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,20,14,"1,172",13,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
38,Naouirou Ahamada,fr FRA,MF,Crystal Palace,eng Premier League,20,2002,8,0,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,17,17,"1,398",15.5,2,2,4,2,0,0,4,1,0.13,0.13,0.26,0.13,0.26,Matches
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,30,16,"1,300",14.4,3,1,4,3,0,0,4,1,0.21,0.07,0.28,0.21,0.28,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,35,35,"3,119",34.7,3,0,3,3,0,0,6,1,0.09,0,0.09,0.09,0.09,Matches
43,Ola Aina,ng NGA,MF,Torino,it Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.1,0.1,0.21,0.1,0.21,Matches
44,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,21,2001,21,9,"1,076",12,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,17,"1,653",18.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,17,15,"1,211",13.5,6,1,7,6,0,0,5,0,0.45,0.07,0.52,0.45,0.52,Matches
48,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,0.12,0,0.12,0,0,Matches
49,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,27,1995,29,24,"2,287",25.4,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,22,"1,873",20.8,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,27,"2,297",25.5,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
52,Babatunde Akinsola,ng NGA,MF,Valladolid,es La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
54,Paul Akouokou,ci CIV,"MF,DF",Real Betis,es La Liga,24,1997,12,3,447,5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
55,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,29,1992,24,16,"1,356",15.1,1,1,2,1,0,0,9,2,0.07,0.07,0.13,0.07,0.13,Matches
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,21,"1,950",21.7,0,0,0,0,0,0,11,0,0,0,0,0,0,Matches
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,21,"1,838",20.4,1,3,4,1,0,0,3,0,0.05,0.15,0.2,0.05,0.2,Matches
58,Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
60,Lucas Alario,ar ARG,FW,Frankfurt,de Bundesliga,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,24,14,"1,419",15.8,2,3,5,2,0,0,6,1,0.13,0.19,0.32,0.13,0.32,Matches
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,35,27,"2,442",27.1,6,7,13,5,1,2,4,0,0.22,0.26,0.48,0.18,0.44,Matches
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,25,24,"2,119",23.5,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
64,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,18,14,"1,254",13.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,18,13,"1,029",11.4,4,2,6,4,0,0,3,0,0.35,0.17,0.52,0.35,0.52,Matches
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,31,22,"2,043",22.7,3,0,3,1,2,3,11,1,0.13,0,0.13,0.04,0.04,Matches
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,25,23,"2,047",22.7,1,1,2,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,Matches
69,Iván Alejo,es ESP,MF,Cádiz,es La Liga,27,1995,31,13,"1,311",14.6,0,1,1,0,0,0,13,1,0,0.07,0.07,0,0.07,Matches
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,35,26,"2,119",23.5,2,2,4,2,0,0,12,1,0.08,0.08,0.17,0.08,0.17,Matches
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,37,34,"2,923",32.5,2,9,11,2,0,0,5,0,0.06,0.28,0.34,0.06,0.34,Matches
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,26,11,"1,138",12.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
75,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,0.15,0.31,0.46,0.15,0.46,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
