Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
163,Takuma Asano,jp JPN,"MF,FW",Mallorca,es La Liga,29,1994,21,13,"1,054",11.7,2,1,3,2,0,0,0,0,0.17,0.09,0.26,0.17,0.26,Matches
164,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21,2003,23,18,"1,670",18.6,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
165,Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,0.36,0.12,0.48,0.36,0.48,Matches
166,Marco Asensio,es ESP,"FW,MF",PSG,fr Ligue 1,28,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,0.29,0.58,0.87,0.29,0.87,Matches
167,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22,2002,22,10,988,11,2,2,4,0,2,2,4,0,0.18,0.18,0.36,0,0.18,Matches
168,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,1987,30,19,"1,745",19.4,10,5,15,5,5,6,6,1,0.52,0.26,0.77,0.26,0.52,Matches
169,Yaser Asprilla,co COL,"MF,FW",Girona,es La Liga,20,2003,27,15,"1,405",15.6,3,1,4,3,0,0,2,0,0.19,0.06,0.26,0.19,0.26,Matches
170,Lorenz Assignon,tg TOG,"MF,DF",Rennes,fr Ligue 1,24,2000,32,27,"2,357",26.2,3,4,7,3,0,0,9,0,0.11,0.15,0.27,0.11,0.27,Matches
171,Dehmaine Assoumani,fr FRA,FW,Nantes,fr Ligue 1,19,2005,12,0,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18,2005,34,33,"2,854",31.7,1,0,1,1,0,0,7,0,0.03,0,0.03,0.03,0.03,Matches
173,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21,2003,27,12,"1,251",13.9,0,1,1,0,0,0,5,0,0,0.07,0.07,0,0.07,Matches
174,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,26,26,"2,307",25.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
175,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Tommaso Augello,it ITA,"MF,DF",Cagliari,it Serie A,29,1994,38,30,"2,713",30.1,0,7,7,0,0,0,3,0,0,0.23,0.23,0,0.23,Matches
177,Carlos Augusto,br BRA,"DF,MF",Inter,it Serie A,25,1999,29,15,"1,691",18.8,3,2,5,3,0,0,1,0,0.16,0.11,0.27,0.16,0.27,Matches
178,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23,2000,27,17,"1,643",18.3,3,2,5,3,0,0,4,0,0.16,0.11,0.27,0.16,0.27,Matches
179,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,es La Liga,30,1994,19,6,677,7.5,2,0,2,2,0,0,5,1,0.27,0,0.27,0.27,0.27,Matches
181,Taiwo Awoniyi,ng NGA,FW,Nottingham,eng Premier League,26,1997,26,3,416,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
182,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,20,2003,34,22,"1,965",21.8,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14,Matches
183,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27,1997,26,4,575,6.4,2,0,2,2,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches
184,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34,1989,27,15,"1,453",16.1,4,1,5,4,0,0,2,0,0.25,0.06,0.31,0.25,0.31,Matches
185,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
186,Jordan Ayew,gh GHA,MF,Leicester City,eng Premier League,32,1991,30,19,"1,638",18.2,5,0,5,4,1,1,5,0,0.27,0,0.27,0.22,0.22,Matches
187,Neil El Aynaoui,ma MAR,MF,Lens,fr Ligue 1,23,2001,24,17,"1,588",17.6,8,1,9,5,3,3,4,0,0.45,0.06,0.51,0.28,0.34,Matches
188,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23,2001,1,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
189,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Adam Aznou,ma MAR,"DF,MF",Valladolid,es La Liga,18,2006,13,10,876,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
191,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34,1989,14,10,875,9.7,1,0,1,1,0,0,1,0,0.1,0,0.1,0.1,0.1,Matches
192,Paulo Azzi,br BRA,MF,Cagliari,it Serie A,30,1994,6,5,426,4.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
193,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
