Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,"2,881",32,0,2,2,0,0,0,8,0,0,0.06,0.06,0,0.06,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,"2,983",33.1,2,0,2,2,0,0,5,1,0.06,0,0.06,0.06,0.06,Matches
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,"2,462",27.4,1,0,1,1,0,0,12,3,0.04,0,0.04,0.04,0.04,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,"2,956",32.8,0,2,2,0,0,0,9,0,0,0.06,0.06,0,0.06,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,"3,084",34.3,17,4,21,14,3,3,9,0,0.5,0.12,0.61,0.41,0.53,Matches
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,"2,536",28.2,4,0,4,4,0,0,2,1,0.14,0,0.14,0.14,0.14,Matches
11,Ragnar Ache,de GER,MF,Frankfurt,de Bundesliga,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
