"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
39;"Nobel Mendy";"Hull";2;127;1;1;0;0.54;0.54;0;0.01;0;0.38;0.38;0;0.38;0.38;0.01;0
40;"Joshua King";"Fulham";2;180;1;1;0;0.44;0.44;0.04;0.93;0.52;0.22;0.22;0.02;0.24;0.24;0.47;0.26
41;"Morgan Rogers";"Chelsea";2;174;1;1;1;0.56;0.56;0.88;1.59;0.18;0.29;0.29;0.45;0.74;0.74;0.82;0.09
42;"Thierno Barry";"Everton";2;155;1;1;0;1.73;1.73;0.15;1.34;0.16;1.01;1.01;0.09;1.09;1.09;0.78;0.09
43;"Jack Clarke";"Ipswich";1;17;1;1;0;0.1;0.1;0;0.1;0;0.5;0.5;0;0.5;0.5;0.5;0
44;"Víctor Muñoz";"Liverpool";2;116;1;1;0;0.3;0.3;0.1;0.44;0.06;0.23;0.23;0.08;0.31;0.31;0.34;0.05
45;"Maxim De Cuyper";"Brighton";2;173;1;1;0;1.42;1.42;0.14;2.38;0.92;0.74;0.74;0.07;0.81;0.81;1.24;0.48
46;"Emersonn";"Ipswich";2;116;1;1;0;0.61;0.61;0.65;1.84;0.62;0.48;0.48;0.5;0.98;0.98;1.43;0.48
47;"Nilson Angulo";"Sunderland";2;127;1;1;0;0.12;0.12;0.05;0.13;0.08;0.08;0.08;0.03;0.12;0.12;0.09;0.06
48;"Liam Millar";"Hull";2;46;1;1;0;0.36;0.36;0;0.47;0.11;0.7;0.7;0;0.7;0.7;0.92;0.22
49;"Malick Yalcouyé";"Brighton";2;77;1;1;0;0;0;0;0.31;0.31;0;0;0;0;0;0.36;0.36
50;"Fabian Schär";"Newcastle United";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;"Bernd Leno";"Fulham";2;180;0;0;0;0;0;0;0.6;0.6;0;0;0;0;0;0.3;0.3
52;"Granit Xhaka";"Sunderland";2;180;0;0;0;0;0;0.46;1.53;1.49;0;0;0.23;0.23;0.23;0.77;0.74
53;"Nico Elvedi";"Leeds";1;57;0;0;0;0;0;0;0.14;0.14;0;0;0;0;0;0.23;0.23
54;"Callum Wilson";"Brentford";2;7;0;0;0;0.15;0.15;0.14;0.29;0.07;1.95;1.95;1.85;3.79;3.79;3.79;0.86
55;"Alex Iwobi";"Fulham";2;180;0;0;0;0.01;0.01;0.42;0.65;0.65;0.01;0.01;0.21;0.22;0.22;0.33;0.33
56;"Marcus Rashford";"Manchester United";2;124;0;0;0;0.42;0.42;0.17;0.74;0.22;0.3;0.3;0.12;0.43;0.43;0.54;0.16
57;"Paddy McNair";"Hull";1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;"Ross Barkley";"Aston Villa";1;79;0;0;0;0.1;0.1;0.1;0.1;0.05;0.11;0.11;0.11;0.22;0.22;0.11;0.06
59;"Jack Grealish";"Manchester City";1;6;0;0;0;0;0;0;0.41;0.41;0;0;0;0;0;6.13;6.13
60;"Ola Aina";"Nottingham Forest";2;165;0;0;0;0.04;0.04;0.32;1.71;1.6;0.02;0.02;0.17;0.19;0.19;0.93;0.87
61;"Jordan Pickford";"Everton";2;180;0;0;0;0;0;0;0.08;0.08;0;0;0;0;0;0.04;0.04
62;"Adam Smith";"Bournemouth";2;180;0;0;0;0;0;0.06;0.64;0.58;0;0;0.03;0.03;0.03;0.32;0.29
63;"Virgil van Dijk";"Liverpool";2;180;0;0;0;0.12;0.12;0;1.33;1.33;0.06;0.06;0;0.06;0.06;0.66;0.66
64;"Matt Targett";"Hull";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;"Luke Shaw";"Manchester United";2;165;0;0;0;0;0;0.23;0.72;0.65;0;0;0.13;0.13;0.13;0.39;0.35
66;"Tyrone Mings";"Aston Villa";1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;"Matt Grimes";"Coventry";2;180;0;0;0;0.03;0.03;0.01;0.89;0.88;0.01;0.01;0.01;0.02;0.02;0.45;0.44
68;"Gianluigi Donnarumma";"Manchester City";2;180;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0.1;0.1
69;"Alisson";"Liverpool";2;180;0;0;0;0;0;0;1.01;1.01;0;0;0;0;0;0.5;0.5
70;"Sasa Lukic";"Ipswich";2;165;0;0;1;0.04;0.04;0.09;1.45;1.38;0.02;0.02;0.05;0.07;0.07;0.79;0.75
71;"Dominic Solanke";"Tottenham";2;35;0;0;0;0.17;0.17;0;0.17;0;0.44;0.44;0;0.44;0.44;0.44;0
72;"Harry Maguire";"Manchester United";2;180;0;0;0;0.09;0.09;0.51;1.4;1.31;0.04;0.04;0.25;0.3;0.3;0.7;0.66
73;"Andrew Robertson";"Tottenham";2;159;0;0;0;0.06;0.06;0.28;0.72;0.41;0.04;0.04;0.16;0.2;0.2;0.4;0.23
74;"Oliver McBurnie";"Hull";2;180;0;0;0;0.44;0.44;0.16;0.26;0.1;0.22;0.22;0.08;0.3;0.3;0.13;0.05
75;"Lewis Cook";"Bournemouth";2;149;0;0;0;0;0;0.03;0.58;0.58;0;0;0.02;0.02;0.02;0.35;0.35
76;"Emiliano Buendía";"Aston Villa";1;90;0;0;0;0.12;0.12;0.1;0.1;0;0.12;0.12;0.1;0.22;0.22;0.1;0
77;"Mateo Kovacic";"Manchester City";2;39;0;0;0;0;0;0;1.02;1.02;0;0;0;0;0;2.36;2.36
78;"Issa Diop";"Ipswich";2;180;0;0;0;0;0;0;0.55;0.55;0;0;0;0;0;0.28;0.28
79;"Olivier Boscagli";"Brighton";2;180;0;0;0;0;0;0;1.3;1.3;0;0;0;0;0;0.65;0.65
80;"Darnell Furlong";"Ipswich";1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;"Emiliano Martinez";"Chelsea";1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;"Chris Wood";"Nottingham Forest";1;26;0;0;0;0.06;0.06;0;0.06;0;0.2;0.2;0;0.2;0.2;0.2;0
83;"Mikel Merino";"Arsenal";1;12;0;0;0;0.14;0.14;0;0.17;0.07;1.08;1.08;0;1.08;1.08;1.3;0.53
84;"Declan Rice";"Arsenal";1;70;0;0;0;0.04;0.04;0;0.54;0.52;0.05;0.05;0;0.05;0.05;0.69;0.67
85;"Daniel James";"Leeds";1;19;0;0;0;0.19;0.19;0;0.2;0.04;0.89;0.89;0;0.89;0.89;0.95;0.19
86;"Harry Wilson";"Leeds";2;109;0;0;0;0.01;0.01;0.05;0.08;0.04;0.01;0.01;0.04;0.05;0.05;0.07;0.03
87;"Gabriel";"Arsenal";1;90;0;0;0;0.03;0.03;0;0.41;0.38;0.03;0.03;0;0.03;0.03;0.41;0.38
88;"Nordi Mukiele";"Sunderland";1;90;0;0;0;0;0;0;1.04;1.04;0;0;0;0;0;1.04;1.04
89;"Thomas Meunier";"Sunderland";2;180;0;0;0;0.06;0.06;0.01;0.87;0.81;0.03;0.03;0.01;0.04;0.04;0.43;0.4
90;"Ibrahim Sangare";"Nottingham Forest";1;90;0;0;0;0.01;0.01;0.02;0.03;0;0.01;0.01;0.02;0.03;0.03;0.03;0
91;"Jean-Philippe Mateta";"Crystal Palace";1;67;0;0;0;1.32;1.32;0.02;1.6;0.26;1.77;1.77;0.03;1.81;1.81;2.15;0.35
92;"Boubacar Kamara";"Aston Villa";1;90;0;0;0;0;0;0;0.05;0.05;0;0;0;0;0;0.05;0.05
93;"Youri Tielemans";"Manchester United";2;159;0;0;0;0.23;0.23;0.16;1.36;0.98;0.13;0.13;0.09;0.22;0.22;0.77;0.55
94;"Richarlison";"Tottenham";1;69;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0.14;0.14
95;"Lewis Dunk";"Brighton";2;180;0;0;0;0;0;0;2.18;2.18;0;0;0;0;0;1.09;1.09
96;"Phil Foden";"Manchester City";2;174;0;0;2;0.93;0.93;1.19;2.79;1.26;0.48;0.48;0.62;1.1;1.1;1.44;0.65
97;"Jacob Murphy";"Newcastle United";2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;"Victor Lindelöf";"Aston Villa";1;90;0;0;0;0;0;0;0.05;0.05;0;0;0;0;0;0.05;0.05
99;"Rodrigo Bentancur";"Tottenham";2;133;0;0;0;0;0;0.02;0.61;0.59;0;0;0.02;0.02;0.02;0.41;0.4
100;"Daichi Kamada";"Crystal Palace";2;180;0;0;0;0.04;0.04;0.3;0.49;0.24;0.02;0.02;0.15;0.17;0.17;0.25;0.12
101;"Timothy Castagne";"Fulham";2;159;0;0;1;0.07;0.07;0.17;0.62;0.55;0.04;0.04;0.1;0.14;0.14;0.35;0.31
102;"Nikola Milenkovic";"Nottingham Forest";2;180;0;0;0;0.12;0.12;0;0.99;0.95;0.06;0.06;0;0.06;0.06;0.5;0.47
103;"Pau Torres";"Aston Villa";1;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;"Joachim Andersen";"Fulham";1;90;0;0;0;0;0;0.06;0.68;0.62;0;0;0.06;0.06;0.06;0.68;0.62
105;"Ethan Ampadu";"Leeds";2;180;0;0;0;0.01;0.01;0.12;0.29;0.2;0.01;0.01;0.06;0.07;0.07;0.15;0.1
106;"Joe Rodon";"Leeds";2;123;0;0;0;0.03;0.03;0.1;0.15;0.02;0.02;0.02;0.07;0.1;0.1;0.11;0.01
107;"Callum Hudson-Odoi";"Nottingham Forest";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;"Eddie Nketiah";"Crystal Palace";2;129;0;0;0;0.82;0.82;1.33;2.18;0.02;0.57;0.57;0.93;1.5;1.5;1.52;0.02
109;"Lukas Nmecha";"Leeds";1;18;0;0;1;0.04;0.04;0.86;0.93;0.03;0.2;0.2;4.3;4.5;4.5;4.65;0.16
110;"Harvey Barnes";"Newcastle United";2;180;0;0;0;0.12;0.12;0.11;0.86;0.63;0.06;0.06;0.06;0.11;0.11;0.43;0.32
111;"Dwight McNeil";"Crystal Palace";2;88;0;0;0;0.02;0.02;0;0.81;0.78;0.03;0.03;0;0.03;0.03;0.83;0.8
112;"Jaka Bijol";"Leeds";2;139;0;0;0;0.08;0.08;0;0.2;0.12;0.05;0.05;0;0.05;0.05;0.13;0.08
113;"James Maddison";"Tottenham";1;21;0;0;0;0;0;0;0.02;0.02;0;0;0;0;0;0.1;0.1
114;"David Brooks";"Bournemouth";1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;"Ryan Sessegnon";"Fulham";2;36;0;0;0;0.07;0.07;0;0.09;0.06;0.17;0.17;0;0.17;0.17;0.22;0.14
116;"Axel Disasi";"Crystal Palace";1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;"Matz Sels";"Nottingham Forest";2;180;0;0;0;0;0;0;0.28;0.28;0;0;0;0;0;0.14;0.14
118;"Pedro Porro";"Tottenham";1;90;0;0;0;0.21;0.21;0;0.18;0;0.21;0.21;0;0.21;0.21;0.18;0
119;"Georginio Rutter";"Brighton";1;90;0;0;1;0.07;0.07;0.91;1.05;0.12;0.07;0.07;0.91;0.98;0.98;1.05;0.12
120;"Justin Kluivert";"Bournemouth";2;160;0;0;0;0.89;0.89;0.2;0.54;0.08;0.5;0.5;0.11;0.62;0.62;0.3;0.04
121;"Sean Longstaff";"Leeds";1;6;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;1.47;1.47
122;"Matheus Cunha";"Manchester United";2;164;0;0;1;0.3;0.3;1.03;2.25;0.98;0.16;0.16;0.57;0.73;0.73;1.24;0.54
123;"Mathias Jensen";"Brentford";1;68;0;0;0;0.09;0.09;0.59;0.68;0.64;0.12;0.12;0.79;0.9;0.9;0.89;0.84
124;"Emile Smith-Rowe";"Fulham";1;12;0;0;0;0.06;0.06;0.09;0.15;0;0.45;0.45;0.68;1.13;1.13;1.13;0
125;"Ryan John Giles";"Hull";2;177;0;0;0;0.03;0.03;0.1;0.17;0.11;0.02;0.02;0.05;0.07;0.07;0.09;0.06
126;"Diogo Dalot";"Manchester United";2;84;0;0;0;0.23;0.23;0.44;0.68;0.42;0.24;0.24;0.47;0.71;0.71;0.73;0.45
127;"Ben White";"Arsenal";1;90;0;0;1;0.13;0.13;0.19;0.62;0.48;0.13;0.13;0.19;0.32;0.32;0.62;0.48
128;"Tyler Adams";"Bournemouth";2;31;0;0;0;0;0;0;0.05;0.05;0;0;0;0;0;0.14;0.14
129;"Reinildo";"Sunderland";2;180;0;0;0;0;0;0.17;1.08;1.04;0;0;0.09;0.09;0.09;0.54;0.52
130;"James Garner";"Everton";2;71;0;0;0;0;0;0.06;0.46;0.41;0;0;0.08;0.08;0.08;0.59;0.51
131;"Martín Zubimendi";"Arsenal";1;20;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0.47;0.47
132;"Wesley Fofana";"Chelsea";1;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;"Dean Henderson";"Crystal Palace";2;180;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0.03;0.03
134;"John Egan";"Hull";2;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;"John McGinn";"Aston Villa";1;87;0;0;0;0.03;0.03;0;0.09;0.05;0.04;0.04;0;0.04;0.04;0.09;0.05
136;"James Justin";"Leeds";2;180;0;0;0;0.02;0.02;0.04;0.12;0.06;0.01;0.01;0.02;0.03;0.03;0.06;0.03
137;"Xaver Schlager";"Nottingham Forest";2;104;0;0;0;0.04;0.04;0;0.58;0.56;0.04;0.04;0;0.04;0.04;0.5;0.49
138;"Taiwo Awoniyi";"Coventry";2;108;0;0;0;0.94;0.94;0.05;1.06;0.1;0.78;0.78;0.04;0.83;0.83;0.88;0.08
139;"Caoimhin Kelleher";"Brentford";2;180;0;0;0;0;0;0;0.78;0.78;0;0;0;0;0;0.39;0.39
140;"Takehiro Tomiyasu";"Crystal Palace";2;88;0;0;0;0;0;0;0.54;0.54;0;0;0;0;0;0.55;0.55
141;"Sandro Tonali";"Tottenham";2;166;0;0;0;0.09;0.09;0.16;0.6;0.39;0.05;0.05;0.09;0.14;0.14;0.32;0.21
142;"Evann Guessand";"Crystal Palace";2;49;0;0;0;0.04;0.04;0;0.04;0;0.07;0.07;0;0.07;0.07;0.07;0
143;"Arnaud Kalimuendo Muinga";"Nottingham Forest";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;"Reece James";"Chelsea";2;110;0;0;0;0.08;0.08;0.03;1.02;0.96;0.07;0.07;0.03;0.1;0.1;0.84;0.78
145;"Ronald Araújo";"Liverpool";2;29;0;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0.53;0.53
146;"Nick Woltemade";"Newcastle United";1;18;0;0;1;0.02;0.02;0.51;0;0;0.09;0.09;2.54;2.63;2.63;0;0
147;"Riccardo Calafiori";"Arsenal";1;83;0;0;1;0.08;0.08;0.1;0.71;0.53;0.09;0.09;0.11;0.2;0.2;0.77;0.57
148;"Neco Williams";"Nottingham Forest";2;180;0;0;0;0.24;0.24;0.15;1.68;1.37;0.12;0.12;0.07;0.19;0.19;0.84;0.69
149;"Tyrick Mitchell";"Crystal Palace";2;180;0;0;0;0.24;0.24;0.52;1.03;0.77;0.12;0.12;0.26;0.38;0.38;0.52;0.38
150;"Nicolás Domínguez";"Nottingham Forest";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;"Sander Berge";"Fulham";2;159;0;0;0;0.04;0.04;0.38;0.76;0.36;0.02;0.02;0.22;0.24;0.24;0.43;0.2
152;"Exequiel Palacios";"Ipswich";1;26;0;0;0;0;0;0.01;0.01;0.01;0;0;0.05;0.05;0.05;0.05;0.05
153;"Lucas Gourna Douath";"Hull";1;42;0;0;0;0;0;0;0.26;0.26;0;0;0;0;0;0.55;0.55
154;"Malick Thiaw";"Newcastle United";2;180;0;0;0;0;0;0;0.21;0.21;0;0;0;0;0;0.11;0.11
155;"Alexis Mac Allister";"Liverpool";2;106;0;0;0;0;0;0;0.74;0.74;0;0;0;0;0;0.63;0.63
156;"Omar Marmoush";"Tottenham";1;90;0;0;0;0.11;0.11;0.16;0.36;0.19;0.11;0.11;0.16;0.27;0.27;0.36;0.19
157;"Florian Wirtz";"Liverpool";2;154;0;0;1;0.41;0.41;0.09;1.18;1.04;0.24;0.24;0.05;0.29;0.29;0.69;0.61
158;"Luca Netz";"Nottingham Forest";2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;"Chris Richards";"Crystal Palace";2;180;0;0;0;0.02;0.02;0;0.11;0.11;0.01;0.01;0;0.01;0.01;0.05;0.05
160;"Jarrad Branthwaite";"Everton";2;180;0;0;0;0.23;0.23;0;0.32;0.32;0.12;0.12;0;0.12;0.12;0.16;0.16
161;"Bobby Thomas";"Coventry";2;170;0;0;0;0.01;0.01;0.03;0.34;0.3;0;0;0.02;0.02;0.02;0.18;0.16
162;"Jorge Cuenca";"Fulham";1;90;0;0;0;0;0;0.24;0.34;0.34;0;0;0.24;0.24;0.24;0.34;0.34
163;"Ellis Simms";"Coventry";1;72;0;0;0;0;0;0.01;0.01;0;0;0;0.02;0.02;0.02;0.02;0
164;"Sven Botman";"Newcastle United";2;180;0;0;0;0.01;0.01;0;0.32;0.31;0.01;0.01;0;0.01;0.01;0.16;0.15
165;"Adrien Truffert";"Bournemouth";2;180;0;0;0;0;0;0.14;0.24;0.1;0;0;0.07;0.07;0.07;0.12;0.05
166;"Enzo Le Fée";"Sunderland";2;172;0;0;0;0.2;0.2;0.54;1.57;0.91;0.11;0.11;0.28;0.39;0.39;0.82;0.48
167;"Mohamed Ali-Cho";"Hull";1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;"Eberechi Eze";"Arsenal";1;12;0;0;0;0.04;0.04;0;0;0;0.28;0.28;0;0.28;0.28;0;0
169;"Dara O&#039;Shea";"Ipswich";2;180;0;0;0;0.02;0.02;0.05;0.5;0.49;0.01;0.01;0.02;0.03;0.03;0.25;0.25
170;"Iyenoma Destiny Udogie";"Tottenham";2;24;0;0;0;0;0;0.13;0.2;0.2;0;0;0.48;0.48;0.48;0.75;0.75
171;"Konstantinos Tsimikas";"Liverpool";1;16;0;0;0;0.04;0.04;0;0.18;0.14;0.25;0.25;0;0.25;0.25;1.02;0.77
172;"Maxence Lacroix";"Chelsea";2;180;0;0;1;0;0;0.45;1.02;1.02;0;0;0.22;0.22;0.22;0.51;0.51
173;"Mikkel Damsgaard";"Brentford";2;85;0;0;0;0.06;0.06;0.3;0.62;0.44;0.06;0.06;0.32;0.38;0.38;0.66;0.46
174;"Matthew Cash";"Aston Villa";1;90;0;0;0;0;0;0;0.08;0.08;0;0;0;0;0;0.08;0.08
175;"Liam Delap";"Nottingham Forest";1;21;0;0;0;0.07;0.07;0.24;0.31;0;0.31;0.31;1.01;1.32;1.32;1.32;0
176;"Matteo Ruggeri";"Aston Villa";1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;"Antonee Robinson";"Fulham";2;174;0;0;0;0.2;0.2;0.05;0.66;0.41;0.11;0.11;0.02;0.13;0.13;0.34;0.21
178;"Jacob Ramsey";"Newcastle United";2;40;0;0;0;0.09;0.09;0;0.72;0.63;0.2;0.2;0;0.2;0.2;1.62;1.42
179;"Aaron Hickey";"Brentford";2;14;0;0;0;0;0;0;0.29;0.29;0;0;0;0;0;1.9;1.9
180;"Rúben Dias";"Manchester City";2;180;0;0;0;0.08;0.08;0.3;2.46;2.28;0.04;0.04;0.15;0.19;0.19;1.23;1.14
181;"Omar Alderete";"Sunderland";1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;"Óscar Mingueza";"Crystal Palace";1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;"Malo Gusto";"Chelsea";2;168;0;0;0;0;0;0;0.73;0.73;0;0;0;0;0;0.39;0.39
184;"Yeremi Pino";"Crystal Palace";2;99;0;0;0;0.1;0.1;0.07;0.53;0.49;0.09;0.09;0.06;0.15;0.15;0.49;0.44
185;"Conor Gallagher";"Tottenham";1;47;0;0;0;0.02;0.02;0;0.02;0;0.03;0.03;0;0.03;0.03;0.03;0
186;"James Trafford";"Leeds";2;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;"Robert Sánchez";"Chelsea";1;90;0;0;0;0;0;0;0.28;0.28;0;0;0;0;0;0.28;0.28
188;"Elliot Anderson";"Manchester City";2;148;0;0;0;0.05;0.05;0.87;1.69;1.69;0.03;0.03;0.53;0.56;0.56;1.03;1.03
189;"Jayden Bogle";"Leeds";2;161;0;0;0;0;0;0.02;0.04;0.02;0;0;0.01;0.01;0.01;0.02;0.01
190;"Iliman Ndiaye";"Everton";2;180;0;0;1;0.25;0.25;0.62;0.37;0.18;0.12;0.12;0.31;0.43;0.43;0.18;0.09
191;"Jeremie Frimpong";"Liverpool";2;164;0;0;0;0.01;0.01;0.15;1.16;1.1;0.01;0.01;0.09;0.09;0.09;0.64;0.6
192;"Moisés Caicedo";"Chelsea";1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;"Cody Drameh";"Hull";2;60;0;0;0;0.04;0.04;0;0.04;0;0.06;0.06;0;0.06;0.06;0.06;0
194;"Daniel Jebbison";"Bournemouth";1;13;0;0;0;0.08;0.08;0;0;0;0.57;0.57;0;0.57;0.57;0;0
195;"Tim Iroegbunam";"Everton";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;"William Osula";"Newcastle United";1;57;0;0;1;0.06;0.06;0.26;0.26;0;0.09;0.09;0.41;0.5;0.5;0.41;0
197;"Marco Bizot";"Aston Villa";1;90;0;0;0;0;0;0;0.05;0.05;0;0;0;0;0;0.05;0.05
198;"Dango Ouattara";"Brentford";2;94;0;0;0;0.04;0.04;0.4;1.04;0.83;0.04;0.04;0.38;0.42;0.42;0.99;0.8
199;"David Raya";"Arsenal";1;90;0;0;0;0;0;0;0.21;0.21;0;0;0;0;0;0.21;0.21
200;"Kristoffer Ajer";"Brentford";2;180;0;0;0;0.08;0.08;0.05;0.76;0.73;0.04;0.04;0.03;0.06;0.06;0.38;0.37
201;"Ethan Pinnock";"Coventry";1;10;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0.86;0.86
202;"Rico Henry";"Brentford";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;"Frank Onyeka";"Coventry";1;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;"Nathan Collins";"Brentford";2;180;0;0;0;0.61;0.61;0.07;0.87;0.82;0.3;0.3;0.04;0.34;0.34;0.43;0.41
205;"Christos Tzolis";"Arsenal";1;78;0;0;0;0.24;0.24;0.19;0.79;0.45;0.27;0.27;0.22;0.5;0.5;0.91;0.52
206;"Habib Diarra";"Sunderland";2;26;0;0;1;0.02;0.02;0.45;0.55;0.08;0.05;0.05;1.56;1.61;1.61;1.9;0.28
207;"Mathys Tel";"Tottenham";2;159;0;0;0;0.23;0.23;0.03;0.84;0.72;0.13;0.13;0.02;0.15;0.15;0.47;0.41
208;"Brian Brobbey";"Sunderland";2;134;0;0;0;0.67;0.67;0;0.68;0.01;0.45;0.45;0;0.45;0.45;0.46;0.01
209;"Nico González";"Newcastle United";1;72;0;0;0;0;0;0.03;0.32;0.32;0;0;0.04;0.04;0.04;0.4;0.4
210;"Piero Hincapié";"Arsenal";1;7;0;0;0;0;0;0;0.03;0.03;0;0;0;0;0;0.37;0.37
211;"Kjell Scherpen";"Ipswich";2;180;0;0;0;0;0;0;1.07;1.07;0;0;0;0;0;0.54;0.54
212;"Loum Tchaouna";"Coventry";2;145;0;0;0;0.07;0.07;0.13;0.43;0.36;0.05;0.05;0.08;0.13;0.13;0.27;0.22
213;"Beto";"Everton";2;25;0;0;0;0.11;0.11;0;0.11;0;0.39;0.39;0;0.39;0.39;0.39;0
214;"Cristhian Mosquera";"Arsenal";1;90;0;0;0;0;0;0;0.38;0.38;0;0;0;0;0;0.38;0.38
215;"Lamare Bogarde";"Aston Villa";1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;"Micky van de Ven";"Tottenham";1;90;0;0;0;0;0;0;0.18;0.18;0;0;0;0;0;0.18;0.18
217;"James McAtee";"Nottingham Forest";2;166;0;0;0;0;0;0.41;0.34;0.34;0;0;0.22;0.22;0.22;0.19;0.19
218;"Kasey McAteer";"Ipswich";2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219;"Archie Gray";"Tottenham";2;156;0;0;0;0;0;0;0.29;0.29;0;0;0;0;0;0.16;0.16
