"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
265;"Gustavo Hamer";"Coventry";2;23;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0.37;0.37
266;"Oscar Bobb";"Fulham";2;138;0;0;0;0;0;0.17;0.65;0.48;0;0;0.11;0.11;0.11;0.42;0.31
267;"Patrick Dorgu";"Manchester United";2;56;0;0;0;0.91;0.91;0.09;1.35;0.36;1.46;1.46;0.14;1.6;1.6;2.18;0.58
268;"Noah Okafor";"Leeds";2;94;0;0;0;0.08;0.08;0.06;0.14;0;0.07;0.07;0.06;0.13;0.13;0.13;0
269;"Benjamin Sesko";"Manchester United";2;29;0;0;0;0.04;0.04;0.1;0.57;0.43;0.12;0.12;0.31;0.43;0.43;1.76;1.33
270;"Mohammed Kudus";"Tottenham";1;21;0;0;0;0.05;0.05;0;0.05;0;0.23;0.23;0;0.23;0.23;0.23;0
271;"Djordje Petrovic";"Bournemouth";2;180;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0.25;0.25
272;"Murillo";"Nottingham Forest";2;180;0;0;0;0.08;0.08;0.11;0.23;0.13;0.04;0.04;0.05;0.09;0.09;0.12;0.06
273;"Ayyoub Bouaddi";"Manchester City";1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
274;"Treymaurice Nyoni";"Liverpool";1;10;0;0;0;0;0;0;0.18;0.18;0;0;0;0;0;1.66;1.66
275;"Myles Lewis-Skelly";"Arsenal";1;90;0;0;0;0.05;0.05;0.05;0.6;0.56;0.05;0.05;0.05;0.1;0.1;0.6;0.56
276;"Daniel Muñoz";"Crystal Palace";1;59;0;0;0;0.33;0.33;0;1.15;0.82;0.5;0.5;0;0.5;0.5;1.75;1.25
277;"Adam Wharton";"Crystal Palace";2;180;0;0;0;0;0;0.62;1.61;0.99;0;0;0.31;0.31;0.31;0.8;0.5
278;"Lewis Koumas";"Liverpool";1;11;0;0;0;0.05;0.05;0;0.05;0;0.43;0.43;0;0.43;0.43;0.43;0
279;"Valentín Barco";"Chelsea";1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;"Josh Acheampong";"Chelsea";2;110;0;0;0;0;0;0;1.03;1.03;0;0;0;0;0;0.84;0.84
281;"Tyrique George";"Everton";2;152;0;0;0;0.27;0.27;0.15;0.44;0.09;0.16;0.16;0.09;0.25;0.25;0.26;0.05
282;"Mikey Moore";"Tottenham";2;90;0;0;0;0.63;0.63;0.02;0.7;0.07;0.63;0.63;0.02;0.64;0.64;0.7;0.07
283;"Jacob Greaves";"Ipswich";2;180;0;0;0;0;0;0;1.02;1.02;0;0;0;0;0;0.51;0.51
284;"Harrison Armstrong";"Everton";2;179;0;0;1;0;0;0.47;0.74;0.26;0;0;0.24;0.24;0.24;0.37;0.13
285;"Mats Wieffer";"Brighton";2;165;0;0;0;0.08;0.08;0.07;1.07;0.96;0.04;0.04;0.04;0.08;0.08;0.58;0.53
286;"Carl Rushworth";"Coventry";2;180;0;0;0;0;0;0;0.12;0.12;0;0;0;0;0;0.06;0.06
287;"Abdul Fatawu";"Ipswich";2;153;0;0;1;0;0;1.37;1.48;0.13;0;0;0.81;0.81;0.81;0.87;0.08
288;"Lucas Bergvall";"Tottenham";1;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
289;"Mateus Fernandes";"Tottenham";2;133;0;0;0;0.02;0.02;0.74;0.81;0.64;0.01;0.01;0.5;0.51;0.51;0.55;0.43
290;"Aurèle Amenda";"Coventry";2;180;0;0;0;0.01;0.01;0;0.76;0.75;0.01;0.01;0;0.01;0.01;0.38;0.38
