Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
335,Jeremie Boga,ci CIV,"MF,FW",Juventus,it Serie A,28,1997,15,6,679,7.5,4,0,4,4,0,0,1,0,0.53,0,0.53,0.53,0.53,Matches
336,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,eng Premier League,21,2004,28,11,"1,053",11.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
337,Jayden Bogle,eng ENG,"MF,DF",Leeds United,eng Premier League,25,2000,34,32,"2,793",31,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,Matches
338,Dmytro Bohdanov,ua UKR,MF,Union Berlin,de Bundesliga,18,2007,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23,2002,14,8,815,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
340,Morgan Bokelé Mputu,cm CMR,MF,Metz,fr Ligue 1,21,2004,10,1,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Hugo Bolin,se SWE,"MF,FW",Gladbach,de Bundesliga,22,2003,13,5,550,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
342,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,26,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,25,2000,2,2,145,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
344,Javier Boñar,es ESP,DF,Atlético Madrid,es La Liga,20,2005,4,3,299,3.3,1,0,1,1,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
345,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28,1997,35,31,"2,510",27.9,10,1,11,7,3,3,4,0,0.36,0.04,0.39,0.25,0.29,Matches
346,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,21,2003,27,22,"1,762",19.6,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
347,Giovanni Bonfanti,it ITA,"DF,MF",Pisa,it Serie A,22,2003,9,6,494,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
